species;bill_length;bill_depth;sex
Chinstrap;49.2;18.2;MALE
Chinstrap;42.4;17.3;FEMALE
Chinstrap;48.5;17.5;MALE
Chinstrap;43.2;16.6;FEMALE
Chinstrap;50.6;19.4;MALE
Chinstrap;46.7;17.9;FEMALE
Chinstrap;52;19;MALE
Chinstrap;50.5;18.4;FEMALE
Chinstrap;49.5;19;MALE
Chinstrap;46.4;17.8;FEMALE
Chinstrap;52.8;20;MALE
Chinstrap;40.9;16.6;FEMALE
Chinstrap;54.2;20.8;MALE
Chinstrap;42.5;16.7;FEMALE
Chinstrap;51;18.8;MALE
Chinstrap;49.7;18.6;MALE
Chinstrap;47.5;16.8;FEMALE
Chinstrap;47.6;18.3;FEMALE
Chinstrap;52;20.7;MALE
Chinstrap;46.9;16.6;FEMALE
Chinstrap;53.5;19.9;MALE
Chinstrap;49;19.5;MALE
Chinstrap;46.2;17.5;FEMALE
Chinstrap;50.9;19.1;MALE
Chinstrap;45.5;17;FEMALE
Chinstrap;50.9;17.9;FEMALE
Chinstrap;50.8;18.5;MALE
Chinstrap;50.1;17.9;FEMALE
Chinstrap;49;19.6;MALE
Chinstrap;51.5;18.7;MALE
Chinstrap;49.8;17.3;FEMALE
Chinstrap;48.1;16.4;FEMALE
Chinstrap;51.4;19;MALE
Chinstrap;45.7;17.3;FEMALE
Chinstrap;50.7;19.7;MALE
Chinstrap;42.5;17.3;FEMALE
Chinstrap;52.2;18.8;MALE
Chinstrap;45.2;16.6;FEMALE
Chinstrap;49.3;19.9;MALE
Chinstrap;50.2;18.8;MALE
Chinstrap;45.6;19.4;FEMALE
Gentoo;46.1;13.2;FEMALE
Gentoo;50;16.3;MALE
Gentoo;48.7;14.1;FEMALE
Gentoo;50;15.2;MALE
Gentoo;47.6;14.5;MALE
Gentoo;46.5;13.5;FEMALE
Gentoo;45.4;14.6;FEMALE
Gentoo;46.7;15.3;MALE
Gentoo;43.3;13.4;FEMALE
Gentoo;46.8;15.4;MALE
Gentoo;40.9;13.7;FEMALE
Gentoo;49;16.1;MALE
Gentoo;45.5;13.7;FEMALE
Gentoo;48.4;14.6;MALE
Gentoo;45.8;14.6;FEMALE
Gentoo;49.3;15.7;MALE
Gentoo;42;13.5;FEMALE
Gentoo;49.2;15.2;MALE
Gentoo;46.2;14.5;FEMALE
Gentoo;48.7;15.1;MALE
Gentoo;50.2;14.3;MALE
Gentoo;45.1;14.5;FEMALE
Gentoo;46.5;14.5;FEMALE
Gentoo;46.3;15.8;MALE
Gentoo;42.9;13.1;FEMALE
Gentoo;46.1;15.1;MALE
Gentoo;44.5;14.3;MALE
Gentoo;47.8;15;MALE
Gentoo;48.2;14.3;FEMALE
Gentoo;50;15.3;MALE
Gentoo;47.3;15.3;MALE
Gentoo;42.8;14.2;FEMALE
Gentoo;45.1;14.5;FEMALE
Gentoo;59.6;17;MALE
Gentoo;49.1;14.8;FEMALE
Gentoo;48.4;16.3;MALE
Gentoo;42.6;13.7;FEMALE
Gentoo;44.4;17.3;MALE
Gentoo;44;13.6;FEMALE
Gentoo;48.7;15.7;MALE
Gentoo;42.7;13.7;FEMALE
Gentoo;49.6;16;MALE
Gentoo;45.3;13.7;FEMALE
Gentoo;49.6;15;MALE
Gentoo;50.5;15.9;MALE
Gentoo;43.6;13.9;FEMALE
Gentoo;45.5;13.9;FEMALE
Gentoo;50.5;15.9;MALE
Gentoo;44.9;13.3;FEMALE
Gentoo;45.2;15.8;MALE
Gentoo;46.6;14.2;FEMALE
Gentoo;48.5;14.1;MALE
Gentoo;45.1;14.4;FEMALE
Gentoo;50.1;15;MALE
Gentoo;46.5;14.4;FEMALE
Gentoo;45;15.4;MALE
Gentoo;43.8;13.9;FEMALE
Gentoo;45.5;15;MALE
Gentoo;43.2;14.5;FEMALE
Gentoo;50.4;15.3;MALE
